	metadata	all_values_identical	total_n	n_missing_values	n_real_values	completeness	n_unique_values	unique_values	unique_rate	if_character_existed	n_characters	if_all_integers	n_integers	if_numeric_existed	n_numeric	numeric_var	categorical_var
Position_num	Position_num	FALSE	637	0	637	1	20	11|12|13|14|15|21|22|23|24|25|31|32|33|34|35|41|42|43|44|45	0.0313971742543171	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
pos	pos	FALSE	637	0	637	1	2	left|right	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
number	number	FALSE	637	0	637	1	10	X0|X1|X2|X3|X4|X5|X6|X7|X8|X9	0.0156985871271586	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Tooth_num2	Tooth_num2	FALSE	637	0	637	1	20	T01|T02|T03|T04|T05|T06|T07|T08|T09|T10|T11|T12|T13|T14|T15|T16|T17|T18|T19|T20	0.0313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
HostID	HostID	FALSE	637	0	637	1	16	ECCV_1_10|ECCV_1_14|ECCV_1_21|ECCV_1_23|ECCV_1_24|ECCV_1_5|ECCV_2_15|ECCV_2_16|ECCV_2_24|ECCV_2_26|ECCV_2_27|ECCV_3_10|ECCV_3_21|ECCV_3_22|ECCV_3_3|ECCV_3_5	0.0251177394034537	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Timepoint	Timepoint	FALSE	637	0	637	1	2	T1|T2	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
n_s_c_tooth	n_s_c_tooth	FALSE	637	0	637	1	3	0|1|2	0.00470957613814757	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
sum_dmfs	sum_dmfs	FALSE	637	0	637	1	6	0|1|2|3|4|5	0.00941915227629513	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
weighted_sum_dmfs	weighted_sum_dmfs	FALSE	637	0	637	1	247	0|0.686315677|0.691101106|0.709350805|0.716048288|0.740338244|0.760364311|0.782728365|0.795340778|0.864244789|0.888973442|0.889325168|0.966416462|0.991036229|1.00089035|1.026047899|1.062648558|1.127414761|1.127800767|1.214526212|1.276608349|1.377416784|1.391231063|1.407149395|1.424014332|1.521069666|1.555345896|1.614583462|1.632534504|1.682137336|1.789027458|1.830661251|1.833637427|1.848475944|1.855281018|1.873095711|1.890352011|1.908913893|1.912875758|1.917166218|1.922330818|1.9230269|1.933015876|1.985339609|2.015070012|2.248736099|2.264420724|2.306162814|2.343833246|2.361027825|2.373523113|2.378834871|2.386279651|2.414166158|2.470618303|2.476086281|2.500718659|2.521762358|2.544774631|2.564196817|2.574940389|2.580437187|2.676938284|2.734775224|2.75544392|2.777764322|2.780218053|2.788943448|2.790316855|2.798693111|2.859903981|2.881328918|2.906225245|2.93289542|2.967309959|3.021014472|3.026634423|3.05322822|3.09162619|3.103963374|3.118352531|3.128062901|3.131889367|3.191269628|3.217316789|3.245420525|3.267808314|3.288830855|3.293727729|3.435391729|3.456073932|3.495401401|3.499055923|3.556588309|3.722572664|3.722751513|3.756822489|3.810293983|3.837390169|3.848707439|3.862722198|3.866674412|3.879004186|3.943977476|3.952774811|3.971061937|3.998958176|4.019431592|4.026240238|4.07368115|4.120592755|4.126652559|4.202245339|4.220875988|4.264270976|4.264915982|4.277059918|4.28229145|4.296550013|4.298550913|4.323498095|4.379532196|4.442622887|4.486058267|4.490228652|4.502768005|4.544365468|4.567203236|4.580741227|4.606921039|4.61867493|4.623202168|4.662902257|4.69493054|4.705469343|4.742215515|4.828810551|4.890286985|4.934005093|4.990012336|4.99994064|5.002789139|5.018627712|5.048550532|5.054799123|5.243036887|5.248395034|5.251092897|5.334479748|5.339708476|5.363068745|5.40529896|5.409482322|5.600106444|5.603596441|5.628990609|5.632621718|5.683592352|5.684529018|5.688377781|5.808914842|5.839353636|5.879336156|5.904244651|5.968477631|5.971487682|6.043830553|6.101810892|6.120184393|6.126772856|6.156418577|6.217315351|6.230566794|6.245059317|6.278933947|6.287358441|6.322198748|6.326208237|6.369328854|6.377396943|6.392012775|6.396335189|6.39654477|6.40884939|6.427962496|6.439086966|6.487485089|6.535389794|6.550781316|6.57350246|6.583222732|6.601273416|6.68452592|6.709640251|6.885284995|6.93029255|6.945319452|6.972272309|6.978798792|7.12709462|7.157308927|7.168259114|7.253774903|7.25502564|7.260579978|7.283428253|7.289435445|7.32235808|7.343773886|7.378775512|7.416465072|7.422383088|7.433628331|7.460561813|7.495465807|7.544731517|7.554960763|7.574881029|7.616608228|7.623160475|7.663773805|7.739723402|7.904833825|7.996026662|8.005117747|8.119212209|8.133498471|8.195704987|8.208018675|8.255477871|8.311356531|8.385385068|8.487188877|8.795581394|8.84398468|8.918997853|9.044721067|9.086045617|9.17560132|9.188591418|9.249359602|9.382892632|9.479557913|9.525864938|10.03208797|10.24860382|11.22802737	0.387755102040816	FALSE	0	FALSE	320	TRUE	317	TRUE	FALSE
weighted_mean_dmfs	weighted_mean_dmfs	FALSE	637	0	637	1	2	0|1	0.00313971742543171	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
dmfs_Host	dmfs_Host	FALSE	637	0	637	1	6	0|1|2|3|4|5	0.00941915227629513	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
dmfs_Tooth	dmfs_Tooth	FALSE	637	0	637	1	2	0|1	0.00313971742543171	FALSE	0	TRUE	637	FALSE	0	FALSE	TRUE
Group	Group	FALSE	637	0	637	1	2	C2C|H2H	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
HostGroup	HostGroup	FALSE	637	0	637	1	2	C2C|H2H	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Status_Host	Status_Host	FALSE	637	0	637	1	2	C|H	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Status_Tooth	Status_Tooth	FALSE	637	0	637	1	2	C|H	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
StatusChange	StatusChange	FALSE	637	0	637	1	3	CS|HC|HH	0.00470957613814757	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
StatusHostTooth	StatusHostTooth	FALSE	637	0	637	1	3	CC_C|CC_H|HH_H	0.00470957613814757	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
StatusHostToothC	StatusHostToothC	FALSE	637	0	637	1	4	C2C_CS|C2C_HC|C2C_HH|H2H_HH	0.00627943485086342	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Niche	Niche	TRUE	637	0	637	1	1	P	0.00156985871271586	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Position	Position	FALSE	637	0	637	1	20	T11|T12|T13|T14|T15|T21|T22|T23|T24|T25|T31|T32|T33|T34|T35|T41|T42|T43|T44|T45	0.0313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Position2	Position2	FALSE	637	0	637	1	20	T51|T52|T53|T54|T55|T61|T62|T63|T64|T65|T71|T72|T73|T74|T75|T81|T82|T83|T84|T85	0.0313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Position0	Position0	FALSE	637	0	637	1	20	T01|T02|T03|T04|T05|T06|T07|T08|T09|T10|T11|T12|T13|T14|T15|T16|T17|T18|T19|T20	0.0313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Tooth_num	Tooth_num	FALSE	637	0	637	1	19	T51_61|T52|T53|T54|T55|T62|T63|T64|T65|T71|T72|T73|T74|T75|T81|T82|T83|T84|T85	0.0298273155416013	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Quadrant	Quadrant	FALSE	637	0	637	1	4	Q1|Q2|Q3|Q4	0.00627943485086342	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Position_Tooth	Position_Tooth	FALSE	637	0	637	1	5	T1|T2|T3|T4|T5	0.00784929356357928	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
NicheUL	NicheUL	FALSE	637	0	637	1	2	L|U	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
NicheLR	NicheLR	FALSE	637	0	637	1	2	L|R	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
NicheULLR	NicheULLR	FALSE	637	0	637	1	4	LL|LR|UL|UR	0.00627943485086342	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
NicheAP	NicheAP	FALSE	637	0	637	1	2	Anterior|Posterior	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
NicheICM	NicheICM	FALSE	637	0	637	1	3	Canine|Incisor|Molar	0.00470957613814757	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
X	X	FALSE	637	0	637	1	19	-0.748104778|-0.660641221|-0.653119356|-0.498250551|-0.495714108|-0.323323437|-0.293294283|-0.092128102|-0.092113525|0.091813589|0.092799012|0.275218837|0.283994347|0.445189682|0.458892306|0.620058487|0.625073064|0.69504391|0.698804843	0.0298273155416013	TRUE	319	FALSE	0	TRUE	637	TRUE	TRUE
Y	Y	FALSE	637	0	637	1	20	0.251626716|0.257054811|0.269860123|0.270834684|0.523523865|0.528887802|0.536329177|0.53809577|0.820488531|0.822255125|0.823047157|0.826891187|0.971709779|0.981892308|0.984515091|0.985489652|1.01317747|1.013710899|1.01920402|1.019516211	0.0313971742543171	FALSE	0	FALSE	0	TRUE	637	TRUE	FALSE
Z	Z	FALSE	637	0	637	1	10	-0.18|-0.17|-0.15|-0.12|-0.1|0.1|0.12|0.15|0.17|0.18	0.0156985871271586	TRUE	317	FALSE	0	TRUE	637	TRUE	TRUE
UL	UL	FALSE	637	0	637	1	2	Lower_teeth|Upper_teeth	0.00313971742543171	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Status_ToothPre2	Status_ToothPre2	FALSE	637	0	637	1	3	CC_C|CC_H|HH_H	0.00470957613814757	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
Future_Status_Tooth	Future_Status_Tooth	FALSE	637	0	637	1	3	C_H|Caries|ConfidentH	0.00470957613814757	TRUE	637	FALSE	0	FALSE	0	FALSE	TRUE
