Taxon	feature	n	n_NA	n_neg	n_pos	imp_sum	imp_mean	imp_rank_sum	imp_rank_mean	imp_rank_min
"adk, AK; adenylate kinase [EC:2.7.4.3]"	K00939	9	0	3	2	-1.72402597402598e-05	-1.91558441558442e-06	15377	1708.55555555556	1064
"afuA, fbpA; iron(III) transport system substrate-binding protein"	K02012	9	0	7	2	-0.000101585539055023	-1.12872821172248e-05	17849.5	1983.27777777778	1018.5
"afuB, fbpB; iron(III) transport system permease protein"	K02011	9	0	4	5	6.36061016547791e-05	7.06734462830878e-06	13193.5	1465.94444444444	440
"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]"	K02010	9	0	2	7	0.000398525624284723	4.42806249205247e-05	8044	893.777777777778	87
"aglE, ggtB; alpha-glucoside transport system substrate-binding protein"	K10232	9	0	6	3	0.00010081425163245	1.12015835147166e-05	14522.5	1613.61111111111	259
"AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]"	K00803	9	0	2	0	-2.18023255813954e-05	-2.42248062015504e-06	15468	1718.66666666667	1435.5
"agrA, blpR, fsrA; two-component system, LytTR family, response regulator AgrA"	K07707	9	0	7	2	-0.000349735655686355	-3.88595172984839e-05	20201	2244.55555555556	372
"agrC, blpH, fsrC; two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]"	K07706	9	0	3	6	0.000275906395474854	3.06562661638727e-05	10167	1129.66666666667	63
"AIBP, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]"	K17759	9	0	2	4	-3.79432424463101e-05	-4.21591582736779e-06	14062.5	1562.5	803
"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	K01623	9	0	4	4	8.45950570982582e-05	9.39945078869535e-06	13910	1545.55555555556	139
"algR; two-component system, LytTR family, response regulator AlgR"	K08083	9	0	2	6	-1.13059065423918e-05	-1.25621183804353e-06	11929.5	1325.5	335
"algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"	K08082	9	0	4	2	2.0232255951992e-05	2.24802843911022e-06	16037.5	1781.94444444444	183
"alsD, budA, aldC; acetolactate decarboxylase [EC:4.1.1.5]"	K01575	9	0	3	2	-1.80854098778978e-05	-2.00948998643308e-06	15076.5	1675.16666666667	415
"ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG"	K08218	9	8	0	0	0	0	1747	1747	1747
"amt, AMT, MEP; ammonium transporter, Amt family"	K03320	9	0	5	3	-0.000165488946678802	-1.83876607420891e-05	16030	1781.11111111111	276
"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"	K01176	9	0	1	0	-9.99999999999996e-06	-1.11111111111111e-06	14953	1661.44444444444	1435.5
"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	K15635	9	0	4	2	-5.36778538788522e-05	-5.96420598653913e-06	15914.5	1768.27777777778	546
"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"	K00394	9	0	7	2	-0.000146201214769303	-1.62445794188114e-05	17786	1976.22222222222	611
"aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"	K00395	9	0	1	8	0.000392734510881325	4.36371678757028e-05	6982.5	775.833333333333	247
"APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"	K00759	9	0	3	6	0.000184130821687828	2.04589801875365e-05	11173.5	1241.5	320
"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]"	K00096	9	0	5	3	-8.04711380758349e-05	-8.94123756398165e-06	16651	1850.11111111111	193
"arcA; two-component system, OmpR family, aerobic respiration control protein ArcA"	K07773	9	0	6	2	-0.000136023078452399	-1.51136753835999e-05	17870	1985.55555555556	164
"arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"	K07648	9	0	3	6	0.000329521854374931	3.66135393749924e-05	11620.5	1291.16666666667	32
"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"	K01940	9	0	6	3	-0.000230432377751259	-2.56035975279177e-05	17880	1986.66666666667	117
"argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"	K01755	9	0	4	1	-0.000108393202981438	-1.20436892201598e-05	17318.5	1924.27777777778	1064
"argR, ahrC; transcriptional regulator of arginine metabolism"	K03402	9	0	2	5	0.000189061174933643	2.10067972148492e-05	11333	1259.22222222222	106
"AROA1, aroA; chorismate mutase [EC:5.4.99.5]"	K04516	9	6	0	0	0	0	4835.5	1611.83333333333	1435.5
"AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"	K03856	9	8	0	0	0	0	1747	1747	1747
"aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]"	K03786	9	0	0	0	0	0	14503.5	1611.5	1435.5
"arsA, ASNA1, GET3; arsenite/tail-anchored protein-transporting ATPase [EC:3.6.3.16 3.6.3.-]"	K01551	9	0	3	6	0.000223695768681817	2.48550854090908e-05	11011.5	1223.5	116
"ARSC1, arsC; arsenate reductase [EC:1.20.4.1]"	K00537	9	0	2	5	0.000650599492959522	7.2288832551058e-05	10692.5	1188.05555555556	30
"arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor"	K03892	9	0	2	5	0.000112033965958539	1.24482184398376e-05	11847.5	1316.38888888889	227
"ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]"	K12452	9	0	4	5	0.000348925746007318	3.87695273341464e-05	10914	1212.66666666667	157
"ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]"	K00523	9	0	4	5	5.5754104895093e-05	6.19490054389922e-06	13240	1471.11111111111	389
"asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"	K01953	9	0	5	4	-0.000143341058521705	-1.59267842801895e-05	16314	1812.66666666667	404
"asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA"	K03718	9	1	1	1	-9.71692876965773e-06	-1.21461609620722e-06	12988.5	1623.5625	983.5
"aspC, aspS; nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]"	K09759	9	0	3	5	0.000492799648564187	5.47555165071319e-05	11579	1286.55555555556	16
"ATOX1, ATX1, copZ, golB; copper chaperone"	K07213	9	0	6	3	-6.41694216892324e-05	-7.12993574324805e-06	16320	1813.33333333333	240
"ATPeV1G, ATP6G; V-type H+-transporting ATPase subunit G"	K02152	9	0	1	0	-1.65106382978723e-05	-1.83451536643026e-06	15107.5	1678.61111111111	1435.5
"ATPF0A, atpB; F-type H+-transporting ATPase subunit a"	K02108	9	0	3	4	0.000128338141602491	1.42597935113879e-05	13124	1458.22222222222	130
"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"	K02109	9	0	7	2	-0.00013394713291011	-1.488301476779e-05	17941	1993.44444444444	834.5
"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"	K02110	9	0	2	0	-4.85956977385549e-05	-5.39952197095054e-06	16050	1783.33333333333	1435.5
"ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]"	K02111	9	0	2	2	8.59448739251692e-06	9.54943043612991e-07	14402	1600.22222222222	652
"ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"	K02112	9	1	0	0	0	0	12922	1615.25	1435.5
"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"	K02113	9	0	1	7	0.000137143282439913	1.52381424933236e-05	9749.5	1083.27777777778	628.5
"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"	K02114	9	0	6	1	-0.000106070066939947	-1.17855629933275e-05	17983	1998.11111111111	464
"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"	K02115	9	0	5	1	-3.65414082933512e-06	-4.06015647703902e-07	16814.5	1868.27777777778	185
"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:3.6.3.14 3.6.3.15]"	K02117	9	0	4	5	0.00050074776624753	5.563864069417e-05	10432	1159.11111111111	71
"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"	K02118	9	0	4	1	-3.04068562034064e-05	-3.37853957815627e-06	15979	1775.44444444444	804
"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"	K02119	9	0	4	3	0.00024628046010055	2.73644955667278e-05	13919.5	1546.61111111111	103
"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"	K02120	9	0	0	7	0.000171336219238423	1.90373576931582e-05	9105	1011.66666666667	416
"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"	K02121	9	0	2	4	0.000605407523207301	6.7267502578589e-05	11471	1274.55555555556	31
"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"	K02122	9	0	1	6	0.000274966267141744	3.05518074601937e-05	8757.5	973.055555555556	325
"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"	K02107	9	0	5	3	-0.000313597163723021	-3.48441293025579e-05	17077	1897.44444444444	420
"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"	K02123	9	0	0	0	0	0	14503.5	1611.5	1435.5
"ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K"	K02124	9	0	0	7	0.00042880419909304	4.76449110103378e-05	6870.5	763.388888888889	87
"AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]"	K15923	9	0	4	4	2.96752183716045e-06	3.29724648573383e-07	14296	1588.44444444444	510
"bamE, smpA; outer membrane protein assembly factor BamE"	K06186	9	0	1	3	4.69994958559081e-05	5.22216620621201e-06	12943	1438.11111111111	798
"bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]"	K11263	9	0	4	5	0.000162079064939294	1.80087849932549e-05	11963	1329.22222222222	265
"BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]"	K03564	9	5	0	0	0	0	6641.5	1660.375	1435.5
"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"	K07552	9	0	4	4	9.43766600001119e-06	1.0486295555568e-06	14311.5	1590.16666666667	303
"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"	K00004	9	0	4	5	4.07027775037371e-05	4.52253083374857e-06	13613	1512.55555555556	291
"benK; MFS transporter, AAHS family, benzoate transport protein"	K05548	9	0	7	2	-0.000332180558680173	-3.69089509644636e-05	18390	2043.33333333333	268
"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"	K00130	9	0	3	1	-2.97131270234442e-05	-3.30145855816046e-06	15627	1736.33333333333	1063
"betT, betS; choline/glycine/proline betaine transport protein"	K02168	9	9	0	0	0	NA	0	NA	Inf
"bgaB, lacA; beta-galactosidase [EC:3.2.1.23]"	K12308	9	0	0	2	3.92434988179669e-05	4.36038875755188e-06	13069	1452.11111111111	868.5
"birA; BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"	K03524	9	0	0	4	0.000136060236060236	1.51178040066929e-05	10833.5	1203.72222222222	521.5
"BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]"	K01372	9	0	3	4	9.89660578171782e-05	1.09962286463531e-05	12752	1416.88888888889	400
"blt; MFS transporter, DHA1 family, multidrug resistance protein"	K08153	9	0	5	3	-0.000259399207938284	-2.88221342153649e-05	16720	1857.77777777778	358
"bluB; 5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]"	K04719	9	0	0	0	0	0	14503.5	1611.5	1435.5
"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"	K07335	9	0	2	5	0.000208127880505079	2.31253200561199e-05	10766	1196.22222222222	197
"bolA; BolA family transcriptional regulator, general stress-responsive regulator"	K05527	9	0	5	4	-7.0624834341545e-05	-7.84720381572722e-06	15203	1689.22222222222	229
"butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"	K03366	9	0	0	8	0.000698022681223517	7.75580756915019e-05	5157.5	573.055555555556	62
"capA, pgsA; gamma-polyglutamate biosynthesis protein CapA"	K07282	9	0	1	0	-7.14285714285716e-06	-7.93650793650796e-07	14864.5	1651.61111111111	1435.5
"carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"	K01956	9	0	2	5	5.3042223842747e-05	5.89358042697189e-06	12789	1421	498
"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"	K01255	9	8	0	0	0	0	1747	1747	1747
"CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]"	K01883	9	1	1	2	2.86616286616294e-06	3.58270358270368e-07	12673	1584.125	789
"casB, cse2; CRISPR system Cascade subunit CasB"	K19046	9	0	5	4	-0.000184254935251511	-2.04727705835013e-05	15827	1758.55555555556	41
"cat2, abfT; 4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]"	K18122	9	0	2	7	0.000948128931534357	0.000105347659059373	6712	745.777777777778	47
"catE; catechol 2,3-dioxygenase [EC:1.13.11.2]"	K07104	9	0	0	2	3.40579710144927e-05	3.7842190016103e-06	13214.5	1468.27777777778	994
"cbe, mbe; cellobiose epimerase [EC:5.1.3.11]"	K16213	9	0	4	5	3.75943750924511e-05	4.17715278805012e-06	13543.5	1504.83333333333	376
"cbf, cbf1; 3'-5' exoribonuclease [EC:3.1.-.-]"	K03698	9	0	2	4	3.48237429656259e-05	3.86930477395843e-06	13197.5	1466.38888888889	457
"cbiB, cobD; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]"	K02227	9	0	5	4	-3.08463224744427e-05	-3.42736916382697e-06	15250.5	1694.5	434
"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"	K02199	9	0	5	3	-5.22442347097969e-05	-5.80491496775522e-06	16059	1784.33333333333	354
"cdd, CDA; cytidine deaminase [EC:3.5.4.5]"	K01489	9	0	2	3	0.000284878362752716	3.16531514169685e-05	12169.5	1352.16666666667	95
"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	K03407	9	0	5	4	7.38435815932504e-05	8.20484239925004e-06	13807	1534.11111111111	282
"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	K03412	9	0	3	5	0.00021993329518794	2.443703279866e-05	10583.5	1175.94444444444	250
"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"	K03415	9	0	3	5	0.000129402089065008	1.4378009896112e-05	11711	1301.22222222222	431
"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"	K03413	9	0	2	7	0.000476723839766547	5.29693155296164e-05	7221.5	802.388888888889	140
"chlD, bchD; magnesium chelatase subunit D [EC:6.6.1.1]"	K03404	9	0	5	3	-3.50256211124245e-05	-3.89173567915828e-06	15979	1775.44444444444	219
"chlI, bchI; magnesium chelatase subunit I [EC:6.6.1.1]"	K03405	9	0	3	6	0.000158560052834786	1.76177836483096e-05	12084	1342.66666666667	268
"CHO1, pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]"	K17103	9	0	1	1	5.26315789473663e-07	5.84795321637404e-08	14466.5	1607.38888888889	944
"ciaH; two-component system, OmpR family, sensor histidine kinase CiaH [EC:2.7.13.3]"	K14982	9	0	6	2	-7.15004952578113e-05	-7.94449947309014e-06	17024.5	1891.61111111111	852
"ciaR; two-component system, OmpR family, response regulator CiaR"	K14983	9	0	6	0	-0.000141368414281068	-1.57076015867854e-05	18833.5	2092.61111111111	1581.5
"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"	K01358	9	0	2	1	1.35061399842086e-05	1.50068222046762e-06	14685.5	1631.72222222222	567
"clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX"	K03544	9	0	4	4	0.000121703841666659	1.35226490740732e-05	13156.5	1461.83333333333	192
"coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"	K13038	9	0	3	6	0.000147982135378067	1.64424594864519e-05	12039	1337.66666666667	132
"cobA, btuR; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"	K19221	9	0	2	6	0.000310805894880729	3.4533988320081e-05	9336	1037.33333333333	90
"cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"	K02224	9	0	2	7	0.000303310293393517	3.37011437103908e-05	9071.5	1007.94444444444	203
"cobC, phpB; alpha-ribazole phosphatase [EC:3.1.3.73]"	K02226	9	0	1	8	0.00289965610201323	0.000322184011334803	3540	393.333333333333	7
"cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]"	K00595	9	7	0	0	0	0	3039.5	1519.75	1458
"cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]"	K05936	9	0	3	4	0.000131503076757817	1.46114529730907e-05	12225	1358.33333333333	427
"cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]"	K02231	9	0	2	5	0.000226476470595434	2.51640522883815e-05	10886.5	1209.61111111111	125
"cobQ, cbiP; adenosylcobyric acid synthase [EC:6.3.5.10]"	K02232	9	0	3	5	0.00020270330968891	2.25225899654344e-05	11384	1264.88888888889	191
"comA; ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]"	K12292	9	0	2	7	0.000198942822204163	2.21047580226848e-05	9447.5	1049.72222222222	475
"comD; two-component system, LytTR family, sensor histidine kinase ComD [EC:2.7.13.3]"	K12294	9	0	4	5	0.00057206784762495	6.356309418055e-05	11854.5	1317.16666666667	18
"comE; two-component system, LytTR family, response regulator ComE"	K12295	9	0	4	5	0.00131125697428703	0.000145695219365225	12525	1391.66666666667	6
"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"	K00198	9	0	6	3	-3.49991163314516e-05	-3.88879070349462e-06	16407	1823	363
"copA, ATP7; Cu+-exporting ATPase [EC:3.6.3.54]"	K17686	9	0	5	2	-3.12002155253683e-05	-3.46669061392981e-06	16504	1833.77777777778	226
"copC, pcoC; copper resistance protein C"	K07156	9	0	5	4	-1.27972046884214e-05	-1.42191163204682e-06	14741.5	1637.94444444444	498
"COX15, ctaA; cytochrome c oxidase assembly protein subunit 15"	K02259	9	0	3	6	0.000137838552136293	1.53153946818103e-05	11001	1222.33333333333	418
"coxA, ctaD; cytochrome c oxidase subunit I [EC:1.9.3.1]"	K02274	9	0	1	4	3.44875334116973e-05	3.83194815685526e-06	12921	1435.66666666667	849
"coxB, ctaC; cytochrome c oxidase subunit II [EC:1.9.3.1]"	K02275	9	0	2	7	0.000314659607770678	3.49621786411864e-05	9127	1014.11111111111	66
"cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]"	K02278	9	0	6	2	-3.93045357557387e-05	-4.36717063952652e-06	17232.5	1914.72222222222	246
"cpaE, tadZ; pilus assembly protein CpaE"	K02282	9	0	3	5	0.000187869696055139	2.08744106727932e-05	11378.5	1264.27777777778	332
"cpaF, tadA; pilus assembly protein CpaF"	K02283	9	0	0	7	0.000262862494912098	2.9206943879122e-05	8328	925.333333333333	287
"cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]"	K03651	9	0	4	5	-0.00011701439879345	-1.30015998659389e-05	14221.5	1580.16666666667	116
"cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]"	K01119	9	0	0	0	0	0	14503.5	1611.5	1435.5
"cpoA; 1,2-diacylglycerol-3-alpha-glucose alpha-1,2-galactosyltransferase [EC:2.4.1.-]"	K13678	9	0	3	2	-1.04281786753478e-05	-1.15868651948309e-06	15325.5	1702.83333333333	381
"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"	K00228	9	0	4	4	-1.07777196518694e-05	-1.19752440576326e-06	14832.5	1648.05555555556	735
"cpxA; two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]"	K07640	9	0	7	2	-0.000259186299665097	-2.87984777405663e-05	19352	2150.22222222222	267
"cpxR; two-component system, OmpR family, response regulator CpxR"	K07662	9	0	6	3	-0.000155511524284116	-1.72790582537906e-05	17853	1983.66666666667	856
"crcB, FEX; fluoride exporter"	K06199	9	0	4	5	-6.23990601029014e-05	-6.93322890032238e-06	14606	1622.88888888889	580
"creC; two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]"	K07641	9	0	0	9	0.000599533426333605	6.66148251481784e-05	4560	506.666666666667	62
"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"	K10914	9	0	6	3	-0.000127126198582933	-1.41251331758815e-05	17593	1954.77777777778	219
"CS, gltA; citrate synthase [EC:2.3.3.1]"	K01647	9	0	3	6	0.00032048989833256	3.56099887036178e-05	10084.5	1120.5	179
"csd1, cas8c; CRISPR-associated protein Csd1"	K19117	9	0	3	4	9.7854527439675e-05	1.0872725271075e-05	13063	1451.44444444444	265
"csd2, cas7; CRISPR-associated protein Csd2"	K19118	9	0	3	6	0.000174292285359967	1.93658094844408e-05	10904	1211.55555555556	223
"csm1, cas10; CRISPR-associated protein Csm1"	K07016	9	0	4	2	-6.63898076206082e-06	-7.37664529117869e-07	15249.5	1694.38888888889	1018.5
"cspA; cold shock protein (beta-ribbon, CspA family)"	K03704	9	0	2	2	5.61819142916703e-05	6.2424349212967e-06	13637.5	1515.27777777778	318
"cst1, cas8a; CRISPR-associated protein Cst1"	K19088	9	0	3	6	0.000494423848309471	5.49359831454967e-05	10267	1140.77777777778	46
"cst2, cas7; CRISPR-associated protein Cst2"	K19075	9	0	2	7	0.000898911157749515	9.98790175277239e-05	6980	775.555555555556	69
"cusA, silA; Cu(I)/Ag(I) efflux system membrane protein CusA/SilA"	K07787	9	0	4	3	0.000117212064431621	1.30235627146245e-05	12902	1433.55555555556	404
"cusB, silB; membrane fusion protein, Cu(I)/Ag(I) efflux system"	K07798	9	0	2	7	0.000127043665970007	1.41159628855563e-05	10554	1172.66666666667	501
"cvrA, nhaP2; cell volume regulation protein A"	K11105	9	0	2	6	7.09934632182214e-05	7.88816257980238e-06	12213	1357	203
"cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]"	K05851	9	0	3	6	0.000592349288784514	6.58165876427238e-05	10453	1161.44444444444	72
"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"	K00413	9	0	3	5	3.00274961429017e-05	3.33638846032241e-06	12907	1434.11111111111	555
"cycB, ganO; arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein"	K15770	9	0	3	3	-8.4052862919811e-06	-9.33920699109011e-07	14662.5	1629.16666666667	1072
