Taxon	feature	n	n_NA	n_neg	n_pos	imp_sum	imp_mean	imp_rank_sum	imp_rank_mean	imp_rank_min
"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"	K02123	9	0	0	0	0	0	13911.5	1545.72222222222	1413.5
"ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K"	K02124	9	0	1	4	5.82676453980803e-05	6.47418282200892e-06	11897.5	1321.94444444444	192
"AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]"	K15923	9	0	2	3	1.8869438059101e-06	2.096604228789e-07	13309	1478.77777777778	448
"bamE, smpA; outer membrane protein assembly factor BamE"	K06186	9	0	1	1	2.5225225225225e-06	2.80280280280278e-07	13741	1526.77777777778	971
"bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]"	K11263	9	0	2	4	0.000104635136148746	1.16261262387496e-05	11283	1253.66666666667	247
"BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]"	K03564	9	9	0	0	0	NA	0	NA	Inf
"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"	K07552	9	0	4	3	9.97050304711475e-05	1.10783367190164e-05	13792.5	1532.5	104
"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"	K00004	9	0	2	6	0.000257267462299491	2.85852735888324e-05	9304	1033.77777777778	92
"benK; MFS transporter, AAHS family, benzoate transport protein"	K05548	9	0	4	5	0.000167913378603093	1.86570420670103e-05	11990	1332.22222222222	261
"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"	K00130	9	0	1	4	0.000158602725547697	1.76225250608552e-05	10116.5	1124.05555555556	285
"betT, betS; choline/glycine/proline betaine transport protein"	K02168	9	9	0	0	0	NA	0	NA	Inf
"bgaB, lacA; beta-galactosidase [EC:3.2.1.23]"	K12308	9	0	0	1	1.11111111111112e-05	1.23456790123457e-06	13445.5	1493.94444444444	1173
"birA; BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"	K03524	9	0	2	1	-2.77701383583738e-05	-3.0855709287082e-06	14189	1576.55555555556	352.5
"BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]"	K01372	9	0	2	2	-9.89208328689614e-06	-1.09912036521068e-06	13604.5	1511.61111111111	469.5
"blt; MFS transporter, DHA1 family, multidrug resistance protein"	K08153	9	0	2	6	0.000211279541377209	2.34755045974676e-05	9287	1031.88888888889	282
"bluB; 5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]"	K04719	9	4	0	0	0	0	7954.5	1590.9	1530
"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"	K07335	9	0	3	2	-4.95674588569324e-05	-5.50749542854804e-06	14939.5	1659.94444444444	389
"bolA; BolA family transcriptional regulator, general stress-responsive regulator"	K05527	9	0	4	3	0.000100379602731265	1.11532891923628e-05	13528	1503.11111111111	250
"butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"	K03366	9	0	0	2	0.000126005747126437	1.40006385696041e-05	11827.5	1314.16666666667	187
"capA, pgsA; gamma-polyglutamate biosynthesis protein CapA"	K07282	9	0	0	0	0	0	13911.5	1545.72222222222	1413.5
"carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"	K01956	9	0	2	2	2.78606530068299e-05	3.09562811186999e-06	13761	1529	123
"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"	K01255	9	8	0	0	0	0	1530	1530	1530
"CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]"	K01883	9	2	0	1	6.17760617760599e-07	8.82515168229427e-08	10542.5	1506.07142857143	1370
"casB, cse2; CRISPR system Cascade subunit CasB"	K19046	9	0	3	6	0.000347671993686742	3.86302215207491e-05	9037.5	1004.16666666667	100
"cat2, abfT; 4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]"	K18122	9	0	4	5	0.000193267375122338	2.14741527913708e-05	12676.5	1408.5	24
"catE; catechol 2,3-dioxygenase [EC:1.13.11.2]"	K07104	9	0	1	2	1.05145145145145e-05	1.16827939050162e-06	13283	1475.88888888889	948.5
"cbe, mbe; cellobiose epimerase [EC:5.1.3.11]"	K16213	9	0	3	4	0.000102635378528089	1.14039309475655e-05	11815.5	1312.83333333333	234
"cbf, cbf1; 3'-5' exoribonuclease [EC:3.1.-.-]"	K03698	9	0	2	4	5.84431480351782e-05	6.4936831150198e-06	11552.5	1283.61111111111	152
"cbiB, cobD; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]"	K02227	9	0	3	3	1.21715871715895e-06	1.35239857462106e-07	13526	1502.88888888889	640
"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"	K02199	9	0	3	5	-0.000172736412124535	-1.91929346805039e-05	13068.5	1452.05555555556	516
"cdd, CDA; cytidine deaminase [EC:3.5.4.5]"	K01489	9	0	2	2	0.000100819798974971	1.12021998861079e-05	12979.5	1442.16666666667	229
"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	K03407	9	0	4	3	-1.73374281279263e-05	-1.92638090310292e-06	14593	1621.44444444444	107
"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	K03412	9	0	3	3	7.44863137729261e-05	8.27625708588068e-06	12893	1432.55555555556	278
"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"	K03415	9	0	2	7	0.000339428125598671	3.77142361776301e-05	8423	935.888888888889	114
"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"	K03413	9	0	4	5	0.00037668806175263	4.18542290836255e-05	12065.5	1340.61111111111	80
"chlD, bchD; magnesium chelatase subunit D [EC:6.6.1.1]"	K03404	9	0	3	5	0.000460030695821167	5.11145217579074e-05	10500.5	1166.72222222222	67
"chlI, bchI; magnesium chelatase subunit I [EC:6.6.1.1]"	K03405	9	0	2	7	0.000381194146633524	4.23549051815026e-05	7696.5	855.166666666667	94
"CHO1, pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]"	K17103	9	0	0	1	1.6e-05	1.77777777777778e-06	13380.5	1486.72222222222	882.5
"ciaH; two-component system, OmpR family, sensor histidine kinase CiaH [EC:2.7.13.3]"	K14982	9	0	2	2	-4.54417701937167e-05	-5.04908557707964e-06	14505.5	1611.72222222222	981
"ciaR; two-component system, OmpR family, response regulator CiaR"	K14983	9	0	3	4	-2.38206058798545e-05	-2.6467339866505e-06	14148.5	1572.05555555556	655
"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"	K01358	9	0	1	3	8.93048128342255e-06	9.92275698158061e-07	12892.5	1432.5	857
"clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX"	K03544	9	0	3	5	0.000118312471726058	1.31458301917842e-05	11338.5	1259.83333333333	419
"coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"	K13038	9	0	4	5	-0.000207045143661609	-2.3005015962401e-05	14241	1582.33333333333	370
"cobA, btuR; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"	K19221	9	0	3	3	5.6550156918018e-05	6.28335076866866e-06	13144.5	1460.5	403
"cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"	K02224	9	0	2	4	8.40292762399053e-05	9.33658624887837e-06	11995	1332.77777777778	177
"cobC, phpB; alpha-ribazole phosphatase [EC:3.1.3.73]"	K02226	9	0	3	4	0.000272920186937646	3.0324465215294e-05	11988.5	1332.05555555556	107
"cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]"	K00595	9	8	0	0	0	0	1639	1639	1639
"cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]"	K05936	9	0	3	5	6.53023179838062e-05	7.2558131093118e-06	11917	1324.11111111111	349
"cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]"	K02231	9	0	2	5	7.85359694751708e-05	8.72621883057454e-06	11373	1263.66666666667	665
"cobQ, cbiP; adenosylcobyric acid synthase [EC:6.3.5.10]"	K02232	9	0	4	3	-6.14448882730616e-05	-6.82720980811796e-06	15119.5	1679.94444444444	667
"comA; ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]"	K12292	9	0	3	5	2.3915257369565e-05	2.65725081884056e-06	12540.5	1393.38888888889	634
"comD; two-component system, LytTR family, sensor histidine kinase ComD [EC:2.7.13.3]"	K12294	9	0	2	5	9.72279741666285e-05	1.08031082407365e-05	11286	1254	411
"comE; two-component system, LytTR family, response regulator ComE"	K12295	9	0	4	4	0.000101635320047212	1.12928133385791e-05	12465.5	1385.05555555556	85
"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"	K00198	9	0	3	5	4.33172433158799e-05	4.81302703509777e-06	12442	1382.44444444444	545
"copA, ATP7; Cu+-exporting ATPase [EC:3.6.3.54]"	K17686	9	0	4	0	-0.000171134709561851	-1.90149677290945e-05	17623	1958.11111111111	1413.5
"copC, pcoC; copper resistance protein C"	K07156	9	0	4	3	-0.000109718212294372	-1.21909124771525e-05	14891.5	1654.61111111111	380
"COX15, ctaA; cytochrome c oxidase assembly protein subunit 15"	K02259	9	0	3	3	0.000118864068928797	1.32071187698663e-05	12759	1417.66666666667	186
"coxA, ctaD; cytochrome c oxidase subunit I [EC:1.9.3.1]"	K02274	9	0	1	3	4.24265389782641e-06	4.71405988647379e-07	12935	1437.22222222222	833.5
"coxB, ctaC; cytochrome c oxidase subunit II [EC:1.9.3.1]"	K02275	9	0	6	2	0.000101490794508849	1.12767549454277e-05	17244	1916	35
"cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]"	K02278	9	0	4	4	0.000181914378844399	2.02127087604888e-05	12697.5	1410.83333333333	158
"cpaE, tadZ; pilus assembly protein CpaE"	K02282	9	0	1	7	6.60221084153596e-05	7.33578982392884e-06	9656.5	1072.94444444444	92
"cpaF, tadA; pilus assembly protein CpaF"	K02283	9	0	2	4	3.46022441946434e-05	3.84469379940482e-06	12564	1396	485
"cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]"	K03651	9	0	5	3	6.37939435413777e-05	7.08821594904197e-06	15532	1725.77777777778	73
"cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]"	K01119	9	0	0	2	6.43929983060417e-05	7.15477758956019e-06	12102	1344.66666666667	267
"cpoA; 1,2-diacylglycerol-3-alpha-glucose alpha-1,2-galactosyltransferase [EC:2.4.1.-]"	K13678	9	0	3	4	0.000177817822965338	1.97575358850376e-05	11634.5	1292.72222222222	142
"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"	K00228	9	0	2	4	0.000183087594560245	2.03430660622495e-05	10917.5	1213.05555555556	357
"cpxA; two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]"	K07640	9	0	6	3	-0.000262837299083135	-2.92041443425706e-05	17453.5	1939.27777777778	208
"cpxR; two-component system, OmpR family, response regulator CpxR"	K07662	9	0	2	3	-1.27567458491454e-05	-1.4174162054606e-06	13629.5	1514.38888888889	939
"crcB, FEX; fluoride exporter"	K06199	9	0	5	1	-0.00038258412851367	-4.250934761263e-05	18705	2078.33333333333	1160
"creC; two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]"	K07641	9	0	1	8	0.0014740535609008	0.000163783728988978	4917	546.333333333333	11
"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"	K10914	9	0	5	3	-0.000236279162613879	-2.6253240290431e-05	15986	1776.22222222222	206
"CS, gltA; citrate synthase [EC:2.3.3.1]"	K01647	9	0	3	5	0.00021775578550486	2.41950872783177e-05	10921.5	1213.5	7
"csd1, cas8c; CRISPR-associated protein Csd1"	K19117	9	0	1	4	6.03497707105864e-05	6.70553007895404e-06	11664.5	1296.05555555556	412
"csd2, cas7; CRISPR-associated protein Csd2"	K19118	9	0	4	3	0.000443378104612652	4.92642338458502e-05	13367.5	1485.27777777778	12
"csm1, cas10; CRISPR-associated protein Csm1"	K07016	9	0	0	3	7.8256574589342e-05	8.69517495437133e-06	11836	1315.11111111111	576
"cspA; cold shock protein (beta-ribbon, CspA family)"	K03704	9	0	2	4	9.85869247156269e-05	1.09541027461808e-05	12022.5	1335.83333333333	242.5
"cst1, cas8a; CRISPR-associated protein Cst1"	K19088	9	0	1	8	0.00109981566306643	0.000122201740340715	4676	519.555555555556	11
"cst2, cas7; CRISPR-associated protein Cst2"	K19075	9	0	3	5	0.000929791806922703	0.000103310200769189	10266	1140.66666666667	10
"cusA, silA; Cu(I)/Ag(I) efflux system membrane protein CusA/SilA"	K07787	9	0	4	2	6.03081165520684e-05	6.70090183911871e-06	14071.5	1563.5	259
"cusB, silB; membrane fusion protein, Cu(I)/Ag(I) efflux system"	K07798	9	0	2	5	0.0003175935257673	3.52881695297e-05	11563	1284.77777777778	66
"cvrA, nhaP2; cell volume regulation protein A"	K11105	9	0	4	4	0.000155720596984421	1.73022885538246e-05	12196.5	1355.16666666667	268
"cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]"	K05851	9	0	4	4	2.66678246717729e-05	2.96309163019698e-06	14052	1561.33333333333	65
"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"	K00413	9	0	3	6	0.00029350748622701	3.26119429141122e-05	9847	1094.11111111111	65
"cycB, ganO; arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein"	K15770	9	0	1	3	8.87095475330755e-06	9.85661639256394e-07	13021	1446.77777777778	844
